clavy_id;titulo;editorial;fecha de publicación;lugar de publicación
59464;Infamias;Ediciones Libertad;[1932];Madrid
59465;El nihilista;La Novela Roja;1923;Madrid
59468;Un criminal;La Novela Roja;1923;Madrid
59469;La sonrisa de la Gioconda. El último minué. La historia de Otelo;El Cuento Semanal;1907;Madrid
59470;Desencanto;El Cuento Semanal;[1907];Madrid
59473;La guitarra. Drama en tres actos;El Cuento Semanal;1907;Madrid
59474;La maldita culpa;El Cuento Semanal;1907;Madrid
59475;Aventura;El Cuento Semanal;1907;Madrid
59476;La cita;El Cuento Semanal;1907;Madrid
59477;Reveladoras;El Cuento Semanal;1907;Madrid
59478;El alma viajera;El Cuento Semanal;1907;Madrid
59479;Cada uno;El Cuento Semanal;1907;Madrid
59480;Una letra de cambio;El Cuento Semanal;1907;Madrid
59481;Guillermo el apasionado;El Cuento Semanal;1907;Madrid
59482;Del Rastro a Maravillas;El Cuento Semanal;1907;Madrid
59483;La soledad del campo;El Cuento Semanal;1907;Madrid
59484;La caravana;El Cuento Semanal;1907 (15-3-1907);Madrid
59485;Historia de una reina;El Cuento Semanal;1907 (3-5-1907);Madrid
59486;Un sueño;El Cuento Semanal;1907;Madrid
59487;Ni amor ni arte;El Cuento Semanal;1907;Madrid
59488;La espuma del champagne. Comedia en un acto;El Cuento Semanal;1907;Madrid
59489;La caída del dictador;Ediciones Libertad;1932;Madrid
59491;Las ánimas benditas;Ediciones Libertad;1932;Madrid
59493;Las calaveras de plomo;Ediciones Libertad;[1932];Madrid
59495;¡Pero mató a un burgués!;Ediciones Libertad;[1932];Madrid
59496;Mi dama y mi "star";Ediciones Libertad;1932;Madrid
59498;El confidente;Ediciones Libertad;[1932];Madrid
59499;A tiro limpio;Ediciones Libertad;[1932];Madrid
59500;La bomba;Ediciones Libertad;[1932];Madrid
59502;Un ensayo revolucionario;Ediciones Libertad;[1932];Madrid
59503;Al "Jallo";El Cuento Semanal;1907;Madrid
59504;Almas errantes;El Cuento Semanal;1907;Madrid
59505;Artemisa;El Cuento Semanal;1907;Madrid
59506;La ciencia del dolor;El Cuento Semanal;1907;Madrid
59507;Cómo murió Arriaga;El Cuento Semanal;1907;Madrid
59509;Confesión;El Cuento Semanal;1907;Madrid
59511;La conquista del jándalo;El Cuento Semanal;1907;Madrid
59512;El corazón de Jesús;El Cuento Semanal;1907 (8-11-1907);Madrid
59513;Deuda pagada;El Cuento Semanal;1907 (26-7-1907);Madrid
59514;De corazón en corazón;El Cuento Semanal;1907;Madrid
59515;El "Dies Irae" de San Huberto;El Cuento Semanal;1907;Madrid
59517;Don Claudio;El Cuento Semanal;1907;Madrid
59519;La espada;El Cuento Semanal;1907;Madrid
59521;Frente al mar;El Cuento Semanal;1907;Madrid
59522;El fin de una leyenda;El Cuento Semanal;1907;Madrid
59523;Un hombre serio;El Cuento Semanal;1907;Madrid
59524;Las hijas de don Juan;El Cuento Semanal;1907;Madrid
59525;La leyenda del gaucho;El Cuento Semanal;1907 (19-7-1907);Madrid
59527;El literato;El Cuento Semanal;1907 (6-12-1907);Madrid
59530;El traidor. Novela revolucionaria caucasiana;Ediciones Libertad;[1933];Madrid
59532;La lucha del soldado rojo;Ediciones Libertad;[1933];Madrid
59534;El crimen de los kulaks;Ediciones Libertad;[1933];Madrid
59536;La muerte del revolucionario Tadjik;Ediciones Libertad;[1933];Madrid
59538;¡La guerra que viene!;Ediciones Libertad;[1932];Madrid
59539;El agente confidencial;Ediciones Libertad;[1932];Madrid
59540;¡Resignación, hermanos!;Ediciones Libertad;[1932];Madrid
59545;El pecado original;El Cuento Semanal;1908 (29-5-1908);Madrid
59546;Senderos de vida;El Cuento Semanal;1908 (17-8-1908);Madrid
59547;Rivales;El Cuento Semanal;1908 (15-5-1908);Madrid
59548;Torre de marfil;El Cuento Semanal;1908 (22-5-1908);Madrid
59549;La sombra de la madre;El Cuento Semanal;1908 (11-9-1908);Madrid
59550;Nuevo coloquio de los perros;El Cuento Semanal;1908 (9-10-1908);Madrid
59551;La princesita de pan y miel;El Cuento Semanal;1908 (29-8-1908);Madrid
59552;Noche perdida;El Cuento Semanal;1908 (4-9-1908);Madrid
59554;El solar de la bolera;El Cuento Semanal;1908 (14-2-1908);Madrid
59555;Del camino;El Cuento Semanal;1908;Madrid
59556;La senda estéril;El Cuento Semanal;1908 (31-1-1908);Madrid
59558;Viendo la vida;El Cuento Semanal;1908 (24-4-1908);Madrid
59559;Nómada;El Cuento Semanal;1908 (7-3-1908);Madrid
59560;Nobleza obliga;El Cuento Semanal;1908 (21-3-1908);Madrid
59562;El paralítico;El Cuento Semanal;1908 (6-11-1908);Madrid
59563;Por dónde viene la dicha;El Cuento Semanal;1908 (16-10-1908);Madrid
59565;Las posadas del amor;El Cuento Semanal;1908 (13-11-1908);Madrid
59622;México y sus gobernantes de 1519 a 1910. Biografías, retratos y autógrafos (iconografía completa), con una reseña histórica anterior al descubrimiento y conquista;Tip. de la Casa Ed. Maucci;[1910?];Barcelona
59623;La pastora del Guadiela. Novela original;(Imp. de Bernabé Fernández);1860;Madrid
59624;La senda del Calvario. Nueva y completa Semana Santa en prosa y verso: las siete palabras: oraciones para la Santa Misa, en prosa, oraciones para la mañana y la noche ...;Maucci;[1907?];Barcelona
59625;América y sus mujeres. Estudios hechos sobre el terreno;Fidel Giró;1890;Barcelona
59626;América en fin de siglo. Actualidades, sucesos, apreciaciones, semblanzas, datos históricos;(Imp. de Henrich y Cía.);1897;Barcelona
59627;El camino de la cruz. Poema religioso. Las siete palabras;(Imp. "Las Noticias");1878;Lima
59628;Americanos célebres. Glorias del Nuevo Mundo;[s.n.];1888;[s.l.]
59629;Alfonso el Grande. Poema histórico dedicado a S.M. la Reina Dª Isabel Segunda;(Tip. de Walder);1860;París
59630;Almacén de las señoritas;Libr. de A. Bouret e Hijo;1874;Paris
59632;Colón. Poema;Imp. y Libr. de Abundio Z. Menéndez;1892;Palencia
59634;A San Juan de la Cruz. Poesía de doña Carolina Valencia, premiada en público certamen por la Real Academia Española y publicada a sus expensas;(Imp. y Fundición de M. Tello);1891;Madrid
59637;Mis cantares;Libr. de Fernando Fe;1911;Madrid
59638;¡¡La estocá de la tarde!!  Zarzuela en un acto, dividido en cinco cuadros, en prosa;(R. Velasco, Imp.);[1909];Madrid
59641;¿Quo vadis, burguesía?;Ed. Libertad;[1932];Madrid
59644;Aurora y Felicidad. Novela de costumbres;(Imp. de Salvador Manero);[1881];Barcelona
59646;El deber cumplido. Novela original;(Imp. de Pedro Núñez);1879;Madrid
59647;La cadena rota. Drama en tres actos y en verso;(Imp. de Francisco Macías);1879;Madrid
59648;Contra indiferencia, celos. Juguete cómico en un acto y en prosa. Emp.: ¡Se va!... ¡Oh! ¡Qué martirio!... (h. 4)... Fin.: es el remedio mejor (h. 46);;;[ca. 1875]
59649;Ángela o El ramillete de jazmines. Novela original;(Estab. Tip. de R. Vicente);1865-1866;Madrid
59650;La Violeta. Revista hispano-americana. Literatura, ciencias, teatros y modas;[La Violeta];1862-1866;Madrid
59651;Los miserables de España o Secretos de la Corte. Novela de costumbres;Libr. de Miguel Guijarro;1862-1863;Madrid
59652;La marquesa de Pinares (segunda parte de La pastora del Guadiela);(Imp. de Bernabé Fernández Barco);1861;
59685;En la roca de La Mola. (Memorándum de un confinado);La Novela Roja;1923;Madrid
59687;Papa y papá;La Novela Roja;1923;Madrid
59688;La máquina infernal;La Novela Roja;1923;Madrid
59691;Los proscritos. (De unos años de dolor y de terror);La Novela Roja;1923;Madrid
59692;La roja;La Novela Roja;1923;Madrid
59693;Los mártires del sindicalismo;La Novela Roja;1923;Madrid
59694;El dolor errante;La Novela Roja;1923;Madrid
59699;El traidor y la recompensa;La Novela Roja;1923;Madrid
59704;Episodios de la lucha;La Novela Roja;1922;Madrid
59708;La cena de los cardenales;La Novela Roja;1922;Madrid
59709;Apariencias;La Novela Roja;1922;Madrid
59710;Diálogos cortos;La Novela Roja;1922;Madrid
59712;La gloria militar;La Novela Roja;1922;Madrid
59715;Delatores;La Novela Roja;1922;Madrid
59717;Diálogos dramáticos;La Novela Roja;1923;Madrid
59718;Una pedrada a la virgen;Ediciones Libertad;1932;Madrid
59719;La canción del réprobo;La Novela Roja;1923;Madrid
59721;Los ídolos caídos;La Novela Roja;1929;Madrid
59722;Los victimarios;La Novela Roja;1923;Madrid
59723;La voz de la sangre;La Novela Roja;1923;Madrid
59725;Sindicalista en acción;Ediciones Libertad;1932;Madrid
59727;El terrorista blanco;La Novela Roja;1923;Madrid
