clavy_id;recursos;nombre;género;fechas asociadas al nombre
61202;2;Gili i Roig, Baldomer;Hombre;1873-1927
61204;1;Shelley, Percy Bysshe;Hombre;1792-1822
61207;1;Keats, John;Hombre;1795-1821
61213;1;Ruck, Berta;Mujer;1878-1978
61216;1;Merrel, Concordia;Mujer;1886-1963
61217;1;Calderón, A.;;
61220;1;Velacoracho, Carmen;Mujer;
61221;1;Rackham, Arthur;Hombre;1867-1939
61223;2;Escoriaza, Teresa de;Mujer;
61224;1;Icaza, Carmen de;Mujer;
61227;1;Vian Herrero, Ana;Mujer;
61230;1;Acremant, Germaine;Mujer;1889-1986
61238;1;Bagaría, Luis;Hombre;1882-1940
61240;1;Fernández Mota, Fernando;Hombre;
61241;1;Lázaro Ros, Amando;Hombre;1886-1962
61245;2;Frank, Waldo David;Hombre;1889-1967
61246;1;Hernández Villaescusa, Modesto;Hombre;1869-1936
61247;1;Xaudaró, Joaquín;Hombre;1872-1933
61248;0;Franco, José María;Hombre;1894-1971
61249;1;Mestre Moragas, Alberto;;1896-1973
61251;1;Hortelano;;
61252;0;Portero, Antonio;Hombre;
61256;1;Wells, H. G.;Hombre;1866-1946
61257;1;Arrufat Mestres, José;Hombre;1869-1913
61259;1;Coello, Carlos;Hombre;1850-1888
61261;1;Theotocopuli, Domenico;Hombre;1541-1614
61263;1;M., D. F. de;;
61264;1;Cabas, José;Hombre;1879-1942
61267;1;Austen, Jane;Mujer;1775-1817
61268;27;Ors, Eugenio d';Hombre;1881-1954
61269;1;Butler, Marilyn;Mujer;1937-2014
61272;1;Valdés, Juan de;Hombre;d. 1541
61276;1;Broun, May Heywood;Mujer;
61277;1;Villalón, Cristóbal de;Hombre;
61280;1;Arteta, Aurelio;Hombre;1879-1940
61282;1;López de Gomara, Justo;Hombre;1859-1923
61283;1;Lampérez y Romea, Vicente;Hombre;1861-1923
61286;1;Jaime I de Aragón;Hombre;1213-1276
61287;3;Grassi, Ángela;Mujer;1823-1883
61288;1;Arias Rodríguez del Valle, David;Hombre;1890-1975
61289;1;Maragall, Joan;Hombre;1860-1911
61292;1;Hervás y Panduro, Lorenzo;;
61298;1;López, José Florencio;Hombre;
61303;1;Leoz, Melitón;Hombre;
61304;1;Carranza, Venustiano;Hombre;1859-1920
61306;2;Borbón, Paz de, Infanta de España;Mujer;1862-1946
61307;1;Calvo Roselló, Miguel;Hombre;
61308;2;Albéniz, Laura;Mujer;1890-1944
61311;2;Teresa de Jesús, Santa;Mujer;1515-1582
61312;19;Bayo, Ciro;Hombre;1860-1939
61314;1;Gómez y Jalón, Pablo;Hombre;1842-?
61316;1;Borrás, Tomás;Hombre;1891-1976
61317;1;Gabaldón, Luis;Hombre;1869-1939
61321;4;Rubia Barcia, José;Hombre;1914-1997
61323;2;Sender, Ramón J.;Hombre;1901-1982
61325;17;Mata, Pedro;Hombre;1875-1946
61326;4;Vaquero, Eloy;Hombre;1888-1960
61331;33;Salaverría, José María;Hombre;1873-1940
61335;11;Oyarzábal, Isabel de;Mujer;1878-1974
61338;1;Garcitoral, Alicio;Hombre;1902-2003
61340;10;Guerra da Cal, Ernesto;Hombre;1911-1994
61342;1;García Pérez, Antonio;Hombre;1874-1950
61344;1;García Álvarez, Manuel;Hombre;
61345;3;Giner de los Ríos García, Gloria;Mujer;1886-1970
61346;0;Rodríguez, Carlos;Hombre;1963-
61348;1;García Lorca, Francisco;Hombre;1902-1976
61350;1;Otero Espasandín, José Rogelio;Hombre;1900-1987
61352;2;Pizarro Zambrano, Miguel;Hombre;1897-1956
61354;1;Rojas, Fernando de;Hombre;ca. 1475-1541
61355;7;Romero Serrano, Marina;Mujer;1908-2001
61356;1;Westermarck, Edward;Hombre;1862-1939
61359;2;Ghiraldo, Alberto;Hombre;1874-1946
61360;22;Bartra, Agustí;Hombre;1908-1982
61362;4;Casalduero Martí, Joaquín;Hombre;1903-1990
61365;1;Zamora y Pérez de Urría, Rafael;Hombre;
61367;12;Carner-Ribalta, Josep;Hombre;1898-1988
61369;6;Clariana, Bernardo;Hombre;1912-1962
61371;23;Arenal, Concepción;Mujer;1820-1893
61373;6;Fernández Granell, Eugenio;Hombre;1912-2001
61375;1;Siles, José de;Hombre;1856-1911
61376;0;Girón Irueste, Enrique;Hombre;
61379;0;Arenas Gómez, Andrés;Hombre;
61380;2;Machado de Assis, Joaquim María;Hombre;1839-1908
61382;3;Underhill, John Garrett;Hombre;1876-1946
61384;0;Quiles Faz, Amparo;Mujer;
61386;2;Guzmán y Manrique, Joaquín de;Hombre;
