clavy_id,"editorial","titulo","lugar de publicaci�n","fecha de publicaci�n"
59810,"Juan Pueyo","Cancionero de mi tierra",,
59812,"(Estab. Tip. de Calatrava)","Ababol. Novela sobre costumbres de la huerta de Murcia",,
59977,"V.H. Sanz Calleja","El alma del niño. Ensayos de Psicología infantil",,
59978,"V.H. Sanz Calleja","El alma del niño. Ensayos de Psicología infantil",,
59979,"Federación Ibérica de Sociedades Protectoras de Animales y Plantas, Sección de Madrid","La fiesta taurina y su urgente e inexcusable dulcificación",,
59983,"Cervantes","Embrujamiento",,
59986,"Atenas A.G.","Paisajes y meditaciones",,
59987,"Cervantes","Sinfonía en rojo",,
59988,"Cervantes","La hora emocionada",,
59990,"Cervantes","La canción cristalina",,
59991,"Plon","Rose des bois",,
59992,"Daniel Cortezo","El anacronópete",,
59993,"eLITE-CM/UCM","Veraneo estropeado",,
59997,"eLITE-CM/BNE","Plaga de dragones",,
59998,"Libr. Paul Ollendorff","Imágenes. (Versiones poéticas). Rosas del tiempo antiguo. Mies de hogaño",,
59999,"Páez","De la condición del escritor. Algunos ejemplos",,
60000,"[Espasa-Calpe]","Instantes. Literatura, política",,
60001,"Publicaciones de la Residencia de Estudiantes","Aprendizaje y heroísmo. Lectura dada en la Residencia de estudiantes la noche del 20 de enero de 1915",,
60002,"Lib. de la Viuda de Pueyo","Las mujeres de la literatura",,
60004,"Espasa-Calpe","El cortejo de Minerva",,
60005,"Biblioteca Nueva","Historia del periodismo desde sus comienzos hasta nuestra época",,
60010,"Wilhelm Gronau","Marcelino Menéndez y Pelayo y la cultura alemana (9-XI-1932)",,
60011,"Mundo Latino","La leona de Castilla. Drama en tres actos, en verso",,
60013,"Librería de Fernando Fé","Los hijos de Madrid",,
60015,"[Imp. Casa Miquel-Rius]","Curial e Güelfa. Text del XVen segle",,
60016,"Imp. ""Aurora""","La bailarina. (Pantomima en un acto y dos cuadros)",,
60017,"R. Velasco, Imp.","Juan José. Drama en tres actos y en prosa",,
60018,"Frederick A. Stokes","The Spanish fairy book. (Cuentos de hadas)",,
60019,"Lib. Española","Elevación y caída de Porfirio Díaz",,
60020,"Gustavo Gili","La afirmacion española. Estudios sobre el pesimismo español y los nuevos tiempos",,
60022,"Sociedad General Española de Librería","Ojo por ojo... (Cartas de José Cacumendi a Manuel Briz)",,
60023,"(Imp. de Caro Raggio)","Colección. Poesías",,
60025,"García Monge y Cía.","Florilegio",,
60026,"[Imp. de Galo Sáez]","Un cementerio en las Antillas",,
60027,"Biblioteca Nueva","La decandecia de la risa",,
60029,"Garnier Hnos.","Memorias póstumas de Blas Cubas",,
60030,"Imp. Artística Saez Hnos.","La posada y el camino. Versos",,
60031,"[s.n.]","Gabriel Miró (el escritor y el hombre)",,
60033,"Doubleday","A son of the hidalgos",,
60035,"Rafael Caro Raggio","Patrañas. Cuentos",,
60036,"Imp. Sur","Jacinta la pelirroja. Poema en poemas y dibujos",,
60037,"Calleja","Evoluciones. Cuentos, caprichos, bestiario, epitafios y obras paralelas",,
60038,"Renacimiento","El luchador. Novela",,
60039,"The Century co.","Lucha extraña",,
60042,"Biblioteca Nueva","Hombres, hombrecillos y animales",,
60043,"Pueyo","Cómo se conquista la notoriedad. Los favoritos de la multitud",,
60044,"Lib. de los Sucesores de Hernando","Marcelino Menéndez Pelayo (su vida y su obra)",,
60045,"(Tip. de la ""Revista de Archivos"")","Flor pagana",,
60046,"Pueyo","Las llamas de ""El Fénix"". Breviario íntimo de Fray Lope Félix de Vega Carpio",,
60047,"Sempere","El molino de viento",,
60048,"Mundo Latino","El rey Galaor. Tragedia en tres actos y en verso inspirado en un poema de Eugenio de Castro. El triunfo del amor. Leyenda en dos actos de Giuseppe Giacosa",,
60049,"Juventud","Vida azarosa de Lope de Vega",,
60050,"Mejías y Susillo, Imp.","Andalucía la Baja (poemas en verso)",,
60051,"V. H. de Sanz Calleja","La Maja de Goya. Drama en tres actos",,
60052,"Renacimiento","Judith. Tragedia bíblica en tres actos y en verso",,
60053,"Maucci","Bolívar, poema romántico original y en verso, en un prólogo y tres actos",,
60054,"La Novela Corta","Trata de blancas (Mavi). Comedia original e inédita",,
60055,"La Novela Corta","El moralista. Novela inédita",,
60057,"Renacimiento","Por el mundo de la farsa (palabras de un farsante)",,
60058,"Calpe","Oceanografía del tedio. Historias de las esparragueras",,
60059,"V.H. de Sanz Calleja","Dramas y comedias. El intérprete de Hamlet. El último de la clase",,
60060,"Sempere","Guillermo Tell. Tragedia política en tres jornadas",,
60061,"V. Suárez","La muerte de Isidro Nonell, seguida de otras arbitrariedades y de la oración a Madona Blanca Maria",,
60062,"Mundo Latino","El juez que perdió la conciencia. Novela",,
60063,"London S. French","The romantic young lady (Sueño de una noche de agosto). Comedy in three acts",,
60064,"Compañía Iberoamericana de Publicaciones (CIAP)","La hora española. Ensayos",,
60065,"Gustavo Gili","Los paladines iluminados",,
60066,"Renacimiento","Hermann, encadenado",,
60067,"Sociedad de Ed. Literarias y Artísticas","Muecas. Crítica y sátira",,
60068,"M. Pérez Villavicencio","Del cercado ajeno. Versiones poéticas",,
60069,"Garnier Hnos.","La sombra del ensueño",,
60070,"Páez","Obras completas de Rosalía de Castro",,
60072,"""La Lectura""","Poesías",,
60074,"Macmillan","Tiger Juan",,
60075,"Pueyo","Un viaje de novios",,
60076,"Ediciones del Árbol","Disparadero español",,
60077,"Jonathan Cape","Tiger Juan",,
60078,"Editorial Atlántida,","Cuentos de la tierra (obra póstuma)",,
60080,"La España Moderna","Obras completas de Augusto Ferràn",,
60081,"La Novela Mundial","Blanco Ibañez, Vicente",,
60082,"F. Fé","Tinieblas en las cumbres (historias de libertinaje)",,
60084,"Tip. de Francisco de P. Díaz","La declamación española",,
60085,"Imp. Helénica","La corte de Tetuán",,
60087,"Imp. Helénica","La agonía del Mogreb",,
60088,"Reus","Gente, gentecilla y gentuza. Críticas y sátiras",,
60089,"[Gráfica Universal]","Arte y Estado",,
60090,"Calleja","El poema de la pampa, ""Martín Fierro"" y el criollismo español",,
60091,"Saturnino Calleja","La intimidad literaria",,
60092,"Rafael Caro Raggio","En la vida del Señor Alegre. Novela",,
60094,"Ambrosio Pérez y Cía.","Discursos leídos ante la Real Academia Española en la recepción pública de D. Emilio Ferrari el dia 30 de abril de 1905",,
60096,"[Compañía Ibero-americana de Publicaciones (CIAP)]","Libro de guisados",,
60098,"Ramón Sopena","Incesto. Novela original",,
60100,"Renacimiento","El semental (archiaristocráticas conquistas españolas del bello gran duque vienés Gastón de Beaurepaire). Novela",,
60101,"Mundo Latino","El movimiento V. P. (Novela)",,
60102,"Saturnino Calleja","Glosas. Páginas del Glosari de Xenius (1906-1917)",,
60104,"Tip. de Poch y Creixell","Galeria literaria malagueña. Apuntes para un indice biográfico bibliográfico relativos a escritores hijos de esta provincia, residentes en ella o que han escrito respecto a la misma",,
60105,"Pueyo","Tigre Juan. Novela",,
60106,"Justicia","El crimen de la Gran Vía. Un proceso apasionante sujeto a comentarios y revisión crítica, el caso y su proyección social",,
60109,"Renacimiento","El indiano. Comedia en tres actos",,
60110,"H. Holt and Co.","Sueño de una noche de agosto",,
60111,"Pueyo","El curandero de su honra. (Segunda parte de Tigre Juan). Novela",,
60114,"Calleja","Obras poéticas",,
60118,"R. G. Badger","Contemporary Spanish dramatists",,
60119,"Espasa-Calpe","Romea, o el comediante",,
60122,"Imp. de Juan Pueyo","Cajal. Hstoria íntima y resumen cientiífco del español más ilustre de su época",,
60123,"Sucesores de Hernando,","Elogio de la crítica (ensayos diversos)",,
60124,"Renacimiento","Socialismo individualista. (Índice para su estudio antropológico)",,
60126,"(Imp. de Caro Raggio)","Por la América desconocida",,
60127,"Rafael Caro Raggio","Bolívar y sus tenientes. San Martín y sus aliados",,
60128,"Imprenta helénica,","Un déspota y un libertador. El problema de México",,
60129,"Imp. Helénica","Carranza y la revolución de México",,
