clavy_id,"nombre","recursos","género","fechas asociadas al nombre"
60331,"Castro, Cristóbal de","22","Hombre","1880-1953"
60350,"England, George Allan","1","Hombre","1877-1937"
60366,"Donoso, Armando","1","Hombre","1887-1946"
60371,"Ruiz de la Serna, Enrique","2","Hombre",
60373,"Barriobero y Herrán, Eduardo","13","Hombre","1877-1939"
60384,"Sepúlveda, Ricardo","1","Hombre","1846-1909"
60394,"Cucala y Boix, José","1","Hombre",
60396,"Rentero, Manuel Genaro","1","Hombre","d. 1894"
60398,"Medel, Ángel","1","Hombre",
60400,"Sánchez Pérez, Antonio","1","Hombre","1838-1912"
60402,"Solas, Pedro Jesús","1","Hombre","1852-"
60404,"Araujo, Carlos","1","Hombre","1856-1925"
60406,"Guillén, Eduardo","1","Hombre",
60419,"González-Blanco, Pedro","6","Hombre","1879-1961"
60437,"Faure, Élie","1","Hombre","1873-1937"
60439,"Pérez de Guzmán, Juan","1","Hombre","1841-1928"
60469,"Escalante y Prieto, Amós de","1","Hombre","1831-1902"
60495,"Blasco, Ricardo","1","Hombre","1852-1917"
60500,"Brea, Manuel","1","Hombre",
60503,"Serrano, José","6","Hombre","1873-1941"
60504,"Chueca, Federico","4","Hombre","1846-1908"
60506,"Acuña y Villanueva, Rosario de","11","Mujer","1850-1923"
60507,"Canalejas, Federico","2","Hombre",
60508,"Barraycoa, Francisco","1","Hombre",
60513,"Quislant, Manuel","2","Hombre","1871-1949"
60515,"Medina, Vicente","3","Hombre","1866-1937"
60522,"Álvarez García, Rafael","3","Hombre",
60523,"González del Castillo, Emilio","2","Hombre","1883-1940"
60524,"Pérez López, José","2","Hombre",
60526,"Badía, Pedro","1","Hombre",
60529,"Álvarez López, Enrique","1","Hombre",
60530,"Azara, Félix de","1","Hombre","1746-1821"
60537,"Faure, Sébastien","1","Hombre","1858-1942"
60539,"Delgado, Teodoro",0,"Hombre",
60542,"Colorado, Vicente","1","Hombre",
60547,"Lejárraga, María","7","Mujer","1874-1974"
60548,"Kœckert","1",,
60551,"Praga, Marco","2","Hombre","1862-1929"
60553,"Arniches, Carlos","17","Hombre","1866-1943"
60556,"Chapí, Ruperto","29","Hombre","1851-1909"
60564,"Astray Reguera, Margarita","1","Mujer","1885-1936"
60567,"Berr, Georges","1","Hombre","1867-1942."
60570,"Foglietti Alberola, Luis","2","Hombre","1877-1918"
60573,"Gavault, Paul","1","Hombre","1867-1951"
60574,"Dotesio, Carlos","3","Hombre",
60576,"Beaumarchais, Pierre Augustin Caron de","1","Hombre","1732-1799"
60577,"Borragán de Alonso, María Teresa","2","Mujer","1889-1961"
60583,"Castilla, Vicente","2","Hombre",
60585,"Alberti, José Ignacio de","2","Hombre",
60590,"López Acebal, Francisco","8","Hombre","1866-1933"
60592,"Morera, Enric","2","Hombre","1865-1942"
60593,"Castro, Eugenio de","2","Hombre","1869-1944"
60595,"García y García, Joaquín","1","Hombre",
60597,"Altolaguirre Álvarez, Manuel","1","Hombre","1864-1910"
60600,"González Palomares, Joaquín","1","Hombre",
60601,"Blasco, Eusebio","1","Hombre","1844-1903"
60605,"Brull y Ayerra, Apolinar","3","Hombre","1845-1905"
60615,"Merlo, Antonio","3","Hombre",
60616,"Pedro, Valentín de","5","Hombre","1896-1966"
60617,"Prévost, Antoine François","1","Hombre","1697-1763"
60622,"Goldoni, Carlo","1","Hombre","1707-1793"
60639,"Asensio Navarro, Santos L.","1","Hombre",
60650,"López del Toro, Emilio","1","Hombre","1873-?"
60652,"Font y de Anta, Manuel","1","Hombre","1895-1936"
60653,"Pérez Giralde, Ismael","1","Hombre","1872-"
60657,"Camba, Francisco","7","Hombre","1882?-1947"
60659,"Cuenca, Adolfo","1","Hombre",
60664,"Sinués de Marco, María del Pilar","36","Mujer","1835-1893"
60670,"Fuente, Ricardo","3","Hombre","1870-1925"
60676,"Guillén, Alberto","1","Hombre","1897-1935"
60681,"Hostench, Francisco","1","Hombre",
60690,"Fernández Flórez, Isidoro","2","Hombre","1840-1902"
60723,"López Martín, Fernando","1","Hombre",
60733,"Santiago Fuentes, Magdalena de","3","Mujer","1873-1922"
60735,"Cervantes Saavedra, Miguel de","4","Hombre","1547-1616"
60738,"San José, Diego","7","Hombre","1884-1962"
60748,"Tapia, Luis de","4","Hombre","1871-1937"
60755,"Díez de Tejada, Vicente","3","Hombre","1872-1940"
60770,"Sánchez Prieto, Julián","1","Hombre","1886-1979"
60774,"Urbano, Rafael","3","Hombre","1870-1924"
60785,"Rucabado, Ramón","1","Hombre","1886-"
60786,"Farrán, Jaime","1","Hombre",
60793,"López Núñez, Juan","1","Hombre",
60803,"Heine, Heinrich","2","Hombre","1797-1856"
60807,"Goldberg, Isaac","1","Hombre","1887-1938"
60809,"McMichael, Charles B.","1","Hombre","b. 1850"
60811,"Salterain Herrera, Eduardo de","1","Hombre","b. 1892."
60826,"Sánchez Díaz, Ramón","1","Hombre","1869-1960"
60828,"Ramón y Cajal, Santiago","1","Hombre","1852-1934"
60833,"Torres, Carlos Arturo","1","Hombre","1867-1911"
60839,"Santos Chocano, José","2","Hombre","1875-1934"
60840,"Romero de Torres, Julio","1","Hombre","1874-1930"
60851,"Alcaide de Zafra, Angelina","1","Mujer","1891-"
60853,"Simarro y Lacabra, Luis","1","Hombre","1851-1921"
60854,"Torralva Beci, Eduardo","3","Hombre","1881-1929"
60857,"Guerrero y Pallarés, Teodoro","1","Hombre","1824-1904"
60858,"Pérez Nieva, Alfonso","2","Hombre",
60866,"Händel, Georg Friedrich","2","Hombre","1685-1759"
60868,"Cheix Martínez, Isabel","1","Mujer","1839-1899"
60870,"Zuloaga, Ignacio","1","Hombre","1870-1945"
60873,"Espinosa, Aurelio Macedonio","2","Hombre","1880-1958"
60875,"Knapp, William Ireland","1","Hombre","1835-1908."
60879,"Díaz Sánchez, Francisco","1","Hombre",
60881,"Quijano Otero, José María","1","Hombre",
60882,"López, Manuel Antonio","1","Hombre","1803-1891"
60884,"Pautet, Louis","1","Hombre","1862-"
